Date,Year,Start of Year,End of Year,Month,Start of Month,End of Month,Days in Month,Day,Day Name,Day of Week,Day of Year,Month Name,Quarter
20-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,20,Wednesday,2,79,March,1
21-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,21,Thursday,3,80,March,1
22-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,22,Friday,4,81,March,1
23-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,23,Saturday,5,82,March,1
24-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,24,Sunday,6,83,March,1
25-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,25,Monday,0,84,March,1
26-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,26,Tuesday,1,85,March,1
27-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,27,Wednesday,2,86,March,1
28-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,28,Thursday,3,87,March,1
29-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,29,Friday,4,88,March,1
30-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,30,Saturday,5,89,March,1
31-Mar-19,2019,1-Jan-19,31-Dec-19,3,1-Mar-19,31-Mar-19,31,31,Sunday,6,90,March,1
1-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,1,Wednesday,2,121,May,2
2-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,2,Thursday,3,122,May,2
3-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,3,Friday,4,123,May,2
4-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,4,Saturday,5,124,May,2
5-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,5,Sunday,6,125,May,2
6-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,6,Monday,0,126,May,2
7-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,7,Tuesday,1,127,May,2
8-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,8,Wednesday,2,128,May,2
9-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,9,Thursday,3,129,May,2
10-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,10,Friday,4,130,May,2
11-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,11,Saturday,5,131,May,2
12-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,12,Sunday,6,132,May,2
13-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,13,Monday,0,133,May,2
14-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,14,Tuesday,1,134,May,2
15-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,15,Wednesday,2,135,May,2
16-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,16,Thursday,3,136,May,2
17-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,17,Friday,4,137,May,2
18-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,18,Saturday,5,138,May,2
19-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,19,Sunday,6,139,May,2
20-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,20,Monday,0,140,May,2
21-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,21,Tuesday,1,141,May,2
22-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,22,Wednesday,2,142,May,2
23-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,23,Thursday,3,143,May,2
24-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,24,Friday,4,144,May,2
25-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,25,Saturday,5,145,May,2
26-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,26,Sunday,6,146,May,2
27-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,27,Monday,0,147,May,2
28-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,28,Tuesday,1,148,May,2
29-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,29,Wednesday,2,149,May,2
30-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,30,Thursday,3,150,May,2
31-May-19,2019,1-Jan-19,31-Dec-19,5,1-May-19,31-May-19,31,31,Friday,4,151,May,2
1-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,1,Monday,0,182,July,3
2-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,2,Tuesday,1,183,July,3
3-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,3,Wednesday,2,184,July,3
4-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,4,Thursday,3,185,July,3
5-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,5,Friday,4,186,July,3
6-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,6,Saturday,5,187,July,3
7-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,7,Sunday,6,188,July,3
8-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,8,Monday,0,189,July,3
9-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,9,Tuesday,1,190,July,3
10-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,10,Wednesday,2,191,July,3
11-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,11,Thursday,3,192,July,3
12-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,12,Friday,4,193,July,3
13-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,13,Saturday,5,194,July,3
14-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,14,Sunday,6,195,July,3
15-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,15,Monday,0,196,July,3
16-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,16,Tuesday,1,197,July,3
17-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,17,Wednesday,2,198,July,3
18-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,18,Thursday,3,199,July,3
19-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,19,Friday,4,200,July,3
20-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,20,Saturday,5,201,July,3
21-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,21,Sunday,6,202,July,3
22-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,22,Monday,0,203,July,3
23-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,23,Tuesday,1,204,July,3
24-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,24,Wednesday,2,205,July,3
25-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,25,Thursday,3,206,July,3
26-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,26,Friday,4,207,July,3
27-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,27,Saturday,5,208,July,3
28-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,28,Sunday,6,209,July,3
29-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,29,Monday,0,210,July,3
30-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,30,Tuesday,1,211,July,3
31-Jul-19,2019,1-Jan-19,31-Dec-19,7,1-Jul-19,31-Jul-19,31,31,Wednesday,2,212,July,3
1-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,1,Thursday,3,213,August,3
2-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,2,Friday,4,214,August,3
3-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,3,Saturday,5,215,August,3
4-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,4,Sunday,6,216,August,3
5-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,5,Monday,0,217,August,3
6-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,6,Tuesday,1,218,August,3
7-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,7,Wednesday,2,219,August,3
8-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,8,Thursday,3,220,August,3
9-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,9,Friday,4,221,August,3
10-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,10,Saturday,5,222,August,3
11-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,11,Sunday,6,223,August,3
12-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,12,Monday,0,224,August,3
13-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,13,Tuesday,1,225,August,3
14-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,14,Wednesday,2,226,August,3
15-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,15,Thursday,3,227,August,3
16-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,16,Friday,4,228,August,3
17-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,17,Saturday,5,229,August,3
18-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,18,Sunday,6,230,August,3
19-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,19,Monday,0,231,August,3
20-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,20,Tuesday,1,232,August,3
21-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,21,Wednesday,2,233,August,3
22-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,22,Thursday,3,234,August,3
23-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,23,Friday,4,235,August,3
24-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,24,Saturday,5,236,August,3
25-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,25,Sunday,6,237,August,3
26-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,26,Monday,0,238,August,3
27-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,27,Tuesday,1,239,August,3
28-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,28,Wednesday,2,240,August,3
29-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,29,Thursday,3,241,August,3
30-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,30,Friday,4,242,August,3
31-Aug-19,2019,1-Jan-19,31-Dec-19,8,1-Aug-19,31-Aug-19,31,31,Saturday,5,243,August,3
1-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,1,Tuesday,1,274,October,4
2-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,2,Wednesday,2,275,October,4
3-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,3,Thursday,3,276,October,4
4-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,4,Friday,4,277,October,4
5-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,5,Saturday,5,278,October,4
6-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,6,Sunday,6,279,October,4
7-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,7,Monday,0,280,October,4
8-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,8,Tuesday,1,281,October,4
9-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,9,Wednesday,2,282,October,4
10-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,10,Thursday,3,283,October,4
11-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,11,Friday,4,284,October,4
12-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,12,Saturday,5,285,October,4
13-Oct-19,2019,1-Jan-19,31-Dec-19,10,1-Oct-19,31-Oct-19,31,13,Sunday,6,286,October,4
